window,hidden,lr,weight_decay,batch,loss,config_id,seed,train_end,validation_end,best_epoch,epochs_run,naive_mae,mae,gain_percent
10,24,0.0001,0.0,32,mae,60,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.003,0.0,64,mae,63,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.003,0.1,32,mae,62,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,16,0.003,0.1,64,mse,65,42,874,999,4,14,5.986080000000007,5.983326063423332,0.0460056761131699
20,64,0.003,0.001,64,mse,52,42,874,999,22,32,5.986080000000007,5.982806932608397,0.0546779760980609
5,24,3e-05,0.0,256,mae,68,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,4,0.001,0.1,256,mae,67,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,3e-05,0.001,256,mse,64,42,874,999,45,55,5.986080000000007,5.983870715183292,0.0369070379399483
10,64,0.0003,0.1,256,mse,71,42,874,999,4,14,5.986080000000007,5.9833274117240105,0.0459831521796738
30,24,0.003,0.1,32,mae,69,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.0001,0.0,256,mae,72,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,64,0.0003,0.001,32,mse,66,42,874,999,1,11,5.986080000000007,5.98427598938765,0.0301367608243952
5,4,0.001,0.001,64,mae,74,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,16,0.001,0.001,64,mse,70,42,874,999,6,16,5.986080000000007,5.985250992013874,0.0138489292848209
10,8,3e-05,0.001,256,mse,77,42,874,999,1,11,5.986080000000007,5.986047927028032,0.0005357925716875
30,16,0.0001,0.1,32,mse,73,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.0003,0.1,32,mae,75,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,8,0.0001,0.1,32,mae,78,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,32,3e-05,0.01,64,mse,76,42,874,999,9,19,5.986080000000007,5.984831017697364,0.0208647779956661
30,24,3e-05,0.1,64,mae,80,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,32,3e-05,0.01,256,mae,81,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,0.0003,0.0,64,mse,83,42,874,999,3,13,5.986080000000007,5.984398016311227,0.028098249418329
30,32,0.003,0.0,32,mse,79,42,874,999,4,14,5.986080000000007,5.985525398083126,0.0092648597559974
20,24,0.003,0.01,64,mae,84,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,16,0.0001,0.0,256,mae,86,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,16,0.0001,0.001,256,mse,82,42,874,999,16,26,5.986080000000007,5.98396772020149,0.0352865280537018
20,32,0.0001,0.001,256,mae,88,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,64,3e-05,0.0,32,mse,85,42,874,999,1,11,5.986080000000007,5.985813904386871,0.0044452398420435
10,24,0.0003,0.1,32,mse,87,42,874,999,2,12,5.986080000000007,5.9842038653187535,0.0313416239217323
5,4,0.001,0.0,256,mse,92,42,874,999,3,13,5.986080000000007,5.982654861940204,0.0572183809739224
30,4,3e-05,0.001,64,mae,90,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.001,0.1,64,mse,91,42,874,999,2,12,5.986080000000007,5.983681618285982,0.0400659816444992
30,16,0.0001,0.001,64,mse,94,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.003,0.01,32,mae,95,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,24,0.001,0.001,256,mse,97,42,874,999,8,18,5.986080000000007,5.983140700511733,0.0491022420060272
20,16,3e-05,0.001,64,mse,96,42,874,999,20,30,5.986080000000007,5.9843433591638,0.0290113201996566
60,64,0.001,0.01,32,mae,89,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,8,0.0001,0.001,256,mse,100,42,874,999,1,11,5.986080000000007,5.985980007793232,0.0016704121357347
20,16,0.0003,0.0,64,mse,98,42,874,999,3,13,5.986080000000007,5.984046487647398,0.0339706845316034
5,32,0.0003,0.0,64,mse,102,42,874,999,3,13,5.986080000000007,5.984195611245055,0.0314795117163813
60,24,0.0001,0.1,64,mae,99,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,64,3e-05,0.0,256,mae,93,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,0.001,0.0,256,mse,103,42,874,999,7,17,5.986080000000007,5.984626708908489,0.0242778427872458
20,16,0.0001,0.1,32,mse,101,42,874,999,9,19,5.986080000000007,5.984122307209849,0.0327040866503369
60,4,0.0001,0.01,32,mae,104,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,32,0.0003,0.1,32,mae,106,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,3e-05,0.1,256,mse,105,42,874,999,20,30,5.986080000000007,5.984751699166951,0.0221898276176801
5,64,0.0003,0.001,64,mae,108,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,8,0.0001,0.001,64,mae,111,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.001,0.01,256,mse,107,42,874,999,2,12,5.986080000000007,5.985620499378607,0.0076761523634893
5,64,0.0003,0.1,64,mae,110,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.001,0.0,64,mae,114,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.001,0.0,256,mse,113,42,874,999,2,12,5.986080000000007,5.984363128822559,0.0286810596826003
20,8,0.001,0.1,32,mse,112,42,874,999,2,12,5.986080000000007,5.983749065859416,0.0389392413831957
30,4,0.003,0.01,256,mae,115,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,24,0.0003,0.1,64,mse,116,42,874,999,3,13,5.986080000000007,5.98437421367728,0.0284958824928405
30,64,0.0003,0.1,32,mae,109,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,4,0.0001,0.01,64,mae,117,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,64,0.0003,0.01,64,mse,118,42,874,999,2,12,5.986080000000007,5.984247493180941,0.0306128020184481
60,4,0.0001,0.001,256,mse,122,42,874,999,4,14,5.986080000000007,5.98526317741176,0.0136453670556924
5,16,0.0001,0.01,64,mse,121,42,874,999,15,25,5.986080000000007,5.983994722813943,0.03483543798386
30,64,0.003,0.0,64,mae,119,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,64,0.003,0.001,32,mse,120,42,874,999,3,13,5.986080000000007,5.984752580956758,0.0221750969457423
60,24,0.0003,0.001,64,mae,123,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,24,0.003,0.001,32,mae,126,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,3e-05,0.01,32,mae,125,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,16,0.0001,0.001,64,mse,129,42,874,999,7,17,5.986080000000007,5.984287349378172,0.0299469873746294
60,24,0.003,0.1,32,mae,127,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,64,0.003,0.01,64,mae,124,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,8,0.0001,0.001,256,mse,132,42,874,999,1,11,5.986080000000007,5.985955284877331,0.002083418909804
10,32,0.001,0.0,256,mae,133,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,32,0.003,0.01,32,mae,131,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,24,0.001,0.01,64,mae,130,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.0001,0.001,256,mse,135,42,874,999,3,13,5.986080000000007,5.985363443941378,0.0119703722407549
5,32,3e-05,0.1,32,mse,136,42,874,999,1,11,5.986080000000007,5.986016218915959,0.0010654900042927
60,16,3e-05,0.01,64,mae,138,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.0001,0.0,32,mae,137,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,4,3e-05,0.001,64,mse,128,42,874,999,46,56,5.986080000000007,5.984532455248189,0.025852390075276
20,24,3e-05,0.1,256,mse,139,42,874,999,10,20,5.986080000000007,5.985232047762482,0.014165401022459
30,32,3e-05,0.0,256,mae,141,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
