epoch,Train,Validation
1,1.0186282396316528,1.2208093404769897
2,0.9196727871894836,1.09756338596344
3,0.8053379058837891,0.9523683190345764
4,0.6533589363098145,0.7666110992431641
5,0.43189021944999695,0.5153502821922302
6,0.21612131595611572,0.23469489812850952
7,0.14671935141086578,0.08988195657730103
8,0.12089970707893372,0.07133826613426208
9,0.10037455707788467,0.07034686952829361
10,0.08558090031147003,0.056307606399059296
11,0.07282286137342453,0.0460999496281147
12,0.06530921906232834,0.04063207656145096
13,0.05692068487405777,0.035676803439855576
14,0.05258142948150635,0.03203633427619934
15,0.04622992128133774,0.029354248195886612
16,0.046346265822649,0.027210669592022896
17,0.04371000453829765,0.02689606510102749
18,0.04786434397101402,0.02443869039416313
19,0.036966532468795776,0.02720540761947632
20,0.039285171777009964,0.023044444620609283
21,0.02943604812026024,0.027338696643710136
22,0.030784154310822487,0.02129078470170498
23,0.02642732858657837,0.025737635791301727
24,0.028563838452100754,0.01965373568236828
25,0.02437741681933403,0.02459847554564476
26,0.025989990681409836,0.018927279859781265
27,0.022162603214383125,0.02325497940182686
28,0.023549113422632217,0.01865958608686924
29,0.020534630864858627,0.021940117701888084
30,0.021887468174099922,0.018348785117268562
31,0.019595792517066002,0.02114781178534031
32,0.02114223502576351,0.01797299273312092
33,0.019114218652248383,0.02074890397489071
34,0.020778190344572067,0.017694275826215744
35,0.01872396655380726,0.020450513809919357
36,0.020238734781742096,0.017477167770266533
37,0.018248550593852997,0.02012879215180874
38,0.01949271745979786,0.017271509394049644
39,0.017770420759916306,0.01980212889611721
40,0.01880371943116188,0.017058541998267174
41,0.017369771376252174,0.019491497427225113
42,0.018293632194399834,0.01684485375881195
43,0.017044812440872192,0.01920594833791256
44,0.01792697049677372,0.016636433079838753
45,0.016764819622039795,0.018931858241558075
46,0.01761995628476143,0.01645979844033718
47,0.016491716727614403,0.01863722689449787
48,0.01730898953974247,0.01630830578505993
49,0.01621459610760212,0.018336283043026924
50,0.016983678564429283,0.016170639544725418
