epoch,Train,Validation
1,0.9573906660079956,1.516113042831421
2,0.8283390402793884,1.3231960535049438
3,0.6853429675102234,1.0743621587753296
4,0.5093812346458435,0.761166512966156
5,0.28427454829216003,0.3645869791507721
6,0.11642094701528549,0.07239225506782532
7,0.08643574267625809,0.04479669779539108
8,0.07340939342975616,0.04373364523053169
9,0.054800137877464294,0.02907685562968254
10,0.0471394807100296,0.025817004963755608
11,0.039153218269348145,0.022049427032470703
12,0.03461511433124542,0.020308129489421844
13,0.030203841626644135,0.018813952803611755
14,0.02745138108730316,0.017983699217438698
15,0.024769844487309456,0.0174219012260437
16,0.0231730155646801,0.017068088054656982
17,0.02132830023765564,0.0169825479388237
18,0.02037099376320839,0.016812993213534355
19,0.01898772269487381,0.01700201816856861
20,0.01840449497103691,0.016874592751264572
21,0.017309298738837242,0.017138643190264702
22,0.016942035406827927,0.017078304663300514
23,0.016057906672358513,0.017134889960289
24,0.015797898173332214,0.017247512936592102
25,0.015210664831101894,0.01667558215558529
26,0.014940044842660427,0.01653534173965454
27,0.014554568566381931,0.016833195462822914
28,0.01579815149307251,0.017135165631771088
29,0.015156714245676994,0.0197762344032526
30,0.01610429584980011,0.016777891665697098
31,0.01599160209298134,0.017972273752093315
32,0.016590671613812447,0.015798311680555344
33,0.019644005224108696,0.01684158854186535
34,0.020683754235506058,0.017785772681236267
35,0.026256568729877472,0.014994173310697079
36,0.022160539403557777,0.01983043923974037
37,0.02490958385169506,0.014385191723704338
38,0.017959481105208397,0.019422035664319992
39,0.018566450104117393,0.014337528496980667
40,0.015730230137705803,0.01899411901831627
41,0.015367423184216022,0.014277988113462925
42,0.014034208841621876,0.01835593208670616
43,0.013611655682325363,0.014102018438279629
44,0.01290989387780428,0.017696494236588478
45,0.012647413648664951,0.01386912539601326
46,0.012025287374854088,0.017048388719558716
47,0.011918454430997372,0.013703959994018078
48,0.011429029516875744,0.016443481668829918
49,0.011383116245269775,0.013608014211058617
50,0.011114461347460747,0.01583682745695114
