epoch,Train,Validation
1,1.0862503051757812,1.1677694831954109
2,0.7507859230041504,0.9003426323996649
3,0.5575093348821004,0.7501854546864828
4,0.44014706611633303,0.6631284080611335
5,0.364834984143575,0.6128964829444885
6,0.30987112124760946,0.5756931405597263
7,0.27156250874201454,0.5515584717856513
8,0.2417822003364563,0.5386391870180766
9,0.21508101224899293,0.5289425992965698
10,0.194729216893514,0.5268548838297527
